Abbreviation/Shorthand,Meaning
AROM,artificial rupture of membranes
ART,assisted reproductive technology
ART,Antiretroviral Therapy
ART,adjuvant radiotherapy
ARV,antiretroviral
ARVC,arrhythmogenic right ventricular cardiomyopathy
ARVD,Arrhythmogenic Right Ventricular Dysplasia
AS,active surveillance
AS,ankylosing spondylitis
AS,aortic stenosis
AS-OCT,anterior segment optical coherence tomography
AS-PCR,allele-specific polymerase chain reaction
ASA,acetylsalicylic acid (aspirin)
ASA,American Society of Anesthesiologists
aSAH,aneurysmal subarachnoid hemorrhage
ASAM,American Society of Addiction Medicine
ASAS 20/40/50/70,Assessment in Ankylosing Spondylitis response criteria 20/40/50/70
ASCO,American Society of Clinical Oncology
ASCVD,atherosclerotic cardiovascular disease
ASD,adjacent segment disease
ASD,Adult Spinal Deformity
ASD,atrial septal defect
ASD,autism spectrum disorder
ASGE,American Society for Gastrointestinal Endoscopy
ASGPR,asialoglycoprotein receptor
ASGS,American Society of General Surgeons
ASHD,arteriosclerotic heart disease
ASHF,acute systolic heart failure
ASIA,American Spinal Injury Association
ASIA A,complete spinal injury impairment; no sensory or motor function is preserved in sacral segments S4-S5
ASIA B,"incomplete spinal injury impairment; sensory, but not motor, function is preserved below the neurologic level and extends through sacral segments S4-S5"
ASIA C,"incomplete spinal injury impairment; motor function is preserved below the neurologic level, and most key muscles below the neurologic level have a muscle grade of less than 3"
ASIA D,"incomplete spinal injury impairment; motor function is preserved below the neurologic level, and most key muscles below the neurologic level have a muscle grade that is greater than or equal to 3"
ASIA E,spine is normal; sensory and motor functions are normal
ASIPP,American Society of Interventional Pain Physicians
ASM,airway smooth muscle
ASMA,Anti Smooth Muscle Antibody
ASMBS,American Society for Metabolic and Bariatric Surgery
ASNR,American Society of Neuroradiology
ASO,antisense oligonucleotide
ASO,Anterior Segmental Osteotomy
ASO,Antistreptolysin O
ASPN,American Society of Pain and Neuroscience
ASPS,American Society of Plastic Surgeons
ASRA,American Society of Regional Anesthesia and Pain Medicine
ASRM,American Society for Reproductive Medicine
ASSFN,American Society of Stereotactic and Functional Neurosurgery
ASST,autologus serum skin test
AST,aspartate aminotransferase
ASTRO,American Society for Radiation Oncology
ASU,ambulatory surgery unit
ASV,adaptive servo-ventilation
ASVD,atrioventricular septal defect
ASVD,Arteriosclerotic Vascular Disease
AT,alopecia totalis
AT,anterior tibial
AT,assistive technology
AT/RT,atypical teratoid/rhabdoid tumor
AT1R,Angiotensin Receptor Type I
ATA,antibodies to adalimumab
ATA,atrial tachyarrhythmia
ATACH,atrial tachycardia
ATEC,Autism Treatment Evaluation Checklist
ATFL,anterior talofibular ligament
ATG,anti-thymocyte globulin
ATI,antibodies to Infliximab
ATK,above the knee
ATL,adult T-cell leukemia
ATLL,adult T-cell leukemia/lymphoma
ATM,acute transverse myelitis
ATM,Ataxia-Telangiectasia mutation
ATN,acute tubular necrosis
ATN,atubular necrosis
ATOMAC,Arizona-Texas-Oklahoma-Memphis-Arkansas Consortium
ATP,adenosine triphosphate
ATR,achilles tendon rupture
AU,alopecia universalis
AUA,American Urological Association
AUASS,American Urological Association Symptom Score
AUB,abnormal uterine bleeding
AUB-L,abnormal uterine bleeding - leiomyoma
AUC,area under the curve
AUD,alcohol use disorder
AUDIT,Alcohol Use Disorders Inventory Test
AUI,Aorto-Uni-Iliac
AUIJ,Auto-injector
AUR,Acute Urinary Retention
AutoPAP,automatic titrating positive airway pressure
AV,arteriovenous
AV,atrioventricular
AVB,Aortic Valve Bypass
AVBT,anterior vertebral body tethering
AVD,atrioventricular dissociation
aVF,augmented vector foot
AVF,arteriovenous fistula
AVH,Auditory/Visual Hallucination
AVI,automatic volume infusion pump
aVL,Augmented Vector Left
AVM,arteriovenous malformation
AVN,avascular necrosis
AVNRT,atrioventricular nodal reentrant tachycardia
AVP,arginine vasopressin
aVR,Augmented Vector Right
AVR,aortic valve replacement
AVRMVR,aortic valve repair or replacement mitral valve repair or replacement
AVRT,atrioventricular reentrant tachycardia
AVSS,"afebrile, vital signs stable"
AVWS,acquired von Willebrand syndrome
AWE,antegrade wire escalation
AWL,after weight loss
AWMI,anterior wall myocardial infarction
AWR,Abdominal Wall Reconstruction
AWS,alcohol withdrawal syndrome
Ax,axillary
Ax-fem,Axillo‐Femoral
AXR,abdominal x-ray
AXT,alternating exotropia
AZA,azathiopurine
AZOOR,acute zonal occult outer retinopathy
αKG,α-ketoglutarate
C diff,Clostridium difficile
C-ion RT,carbon-ion radiotherapy
C-peptide,connecting peptide
C/B,complicated by
C/O,complaint of
C/PM,close or positive surgical margin
c/w,consistent with
C&S,culture and sensitivity
C1,first cervical spine vertebra
C12A,Capsule ER 12 Hour Abuse-Deterrent
C2,complement component 2
C2,second cervical spine vertebra
C24A,Capsule ER 24 Hour Abuse-Deterrent
C2PK,Capsule ER 12 Hour Therapy Pack
C3,complement component 3
C3,third cervical spine vertebra
C4,complement component 4
C4,fourth cervical spine vertebra
C4PK,Capsule ER 24 Hour Therapy Pack
C5,fifth cervical spine vertebra
C6,sixth cervical spine vertebra
C7,seventh cervical spine vertebra
CA,calcium
CA,cancer
CA,carbonic anhydrase
CA,catheter ablation
CA,chronological age
CA-125,cancer antigen 125
CA19-9,carbohydrate antigen 19-9
CAA,cerebral amyloid angiopathy
cAb,core antibody
CAB,coronary artery bypass
CABG,coronary artery bypass graft
CAC,coronary artery calcium
CaCO3,calcium carbonate
CAD,computer-aided detection
CAD,coronary artery disease
CAD-3,three-vessel coronary artery disease
CADASIL,cerebral autosomal dominant arteriopathy with subcortical infarcts and leucoencephalopathy
CADD,combined annotation dependent depletion
CAE,cyanoacrylate embolization
CAG,coronary angiography
CAH,chronic active hepatitis
CAH,congenital adrenal hyperplasia
CAI,carbonic anhydrase inhibitor
CALOCUS,Child and Adolescent Level of Care Utilization System
cAMP,cyclic adenosine monophosphate
CANVAS,"cerebellar ataxia, neuropathy, vestibular areflexia syndrome"
CAP,College of American Pathologists
CAP,community acquired pneumonia
CAP,Competitive Acquisition Program
CAP,prostate cancer
CAPA,Capsule Abuse-Deterrent
CAPS,cryopyrin-associated periodic syndrome 
CAR,cancer-associated retinopathy
CAR,chimeric antigen receptor
CAR-T,chimeric antigen receptor T-cell
CARS,Childhood Autism Rating Scale
CART,cartridge
CAS,clinical activity score
Cas9,CRISPR associated protein 9
CASII,Child and Adolescent Service Intensity Instrument
CASL-2,"Comprehensive Assessment of Spoken Language, Second Edition"
CAT,computerized axial tomography
CATCH,Consult for Addiction Treatment and Care in Hospitals
CAV,cardiac allograft vasculopathy
CB,compression bandaging
CB,Concha bullosa
CBC,complete blood count
CBCT,cone beam CT
CBD,cannabidiol
CBD,Common Bile Duct
CBF,cerebral blood flow
CBI,Catheter Based Intervention
CBI,continuous bladder irrigation
CBP,complete blood picture
CBT,cognitive behavioral therapy
CBT-I,cognitive behavioral therapy for insomnia
CBV,cerebral blood volume
CC,chief complaint
cc,cubic centimeter
CCA,C. difficile cytotoxicity assay
CCA,cholangiocarcinoma
CCAD,calcified coronary artery disease
CCB,calcium channel blocker
CCC,complete concentric collapse
CCH,chronic cluster headache
CCHD,critical congenital heart defect
CCJ,craniocervical junction
CCK,cholecystokinin
CCl4,carbon tetrachloride
CCM,cerebral cavernous malformation
CCP,cardiac catheterization procedure
CCP,cyclic citrullinated peptide
CCPDMA,complete circumferential peripheral and deep margin assessment
CCR7,C-C chemokine receptor type 7
CCRCC,clear cell renal cell carcinoma
CCRT,concurrent chemoradiotherapy
CCS grade,Canadian Cardiovascular Society grade
CCT,clinical controlled trial
CCTA,coronary computed tomography angiography
CCU,coronary care unit
CD,Crohn's disease
CD-TLR,clinically driven target lesion revascularization
CD20,cluster of differentiation 20
CD38,cluster of differentiation 38
CD4,cluster of differentiation 4
CD40,cluster of differentiation 40
CD8,cluster of differentiation 8
CDA,cervical disc arthroplasty
CDAI,Clinical Disease Activity Index
CDAI,Crohn's disease activity index
CDC,Centers for Disease Control and Prevention
CDD,CDKL5 deficiency disorder
CDDD,Cervical Degenerative Disc Disease
CDDP,cisplatin
CDEIS,Crohn’s disease index of severity
CDH,chronic daily headache
CDH,congenital diaphragmatic hernia
CDHIS,Crohn's Disease Histological Index of Severity
CDI,"clean, dry, and intact"
CDI,Clostridium difficile infection
CDK,cyclin-dependent kinase
CDKL5,cyclin-dependent kinase-like 5 
CDKN2A,cyclin-dependent kinase inhibitor 2A
CDMR,Cesarean Delivery at Maternal Request
cDNA,complementary DNA
cDNA-AFLP,cDNA-amplified restriction fragment–length polymorphism
CDP,complex decongestive physiotherapy
CDP,contractile deceleration point
CDPAS,consumer directed personal assistance services
CDPK,Capsule Delayed Release Therapy Pack
CDR,common drug review
CDR,complimentary-determining region
CDT,carbohydrate‐deficient transferrin
CDT,complete decongestive therapy
CDU,clinical decision unit
CDVA,corrected distance visual acuity
CDx,companion diagnostic
ce-CMR,contrast-enhanced cardiac magnetic resonance
CEA,carcinoembryonic antigen
CEA,Carotid Endarterectomy
CEAP,"clinical condition, etiology, anatomic location, pathophysiology"
CEB,continuous epidural block
CED,Cervical Endoscopic Discectomy
CED,Coverage with Evidence Development
CEPK,Capsule Extended Release Therapy Pack
CESI,cervical epidural steroid injection
CEUS,contrast-enhanced ultrasound
CF,citrate-free
CF,counting fingers
CF,cystic fibrosis
CF-IRMS,continuous flow-isotope ratio mass spectrometry
CFA,Common Femoral Artery
CFC,cardio-facio-cutaneous syndrome
CFCS,Communication Function Classification System
cfDNA,cell-free DNA
CFRD,Cystic Fibrosis Related Diabetes
CFTR,cystic fibrosis transmembrane conductance regulator
CFU,colony forming unit
CFV,contractile front velocity
CG,compression garment
CGA,contact guard assist
CGH,comparative genomic hybridization
CGI-I,Clinical Global Impression–Improvement
CGM,continuous glucose monitoring
cGMP,cyclic guanosine monophosphate
CGMS,continuous glucose monitoring system
CGP,comprehensive genomic profiling
CGRP,calcitonin gene-related peptide
cGy,centigray
CHA2DS2-VASc,"congestive heart failure, hypertension, age ≥ 75, diabetes mellitus, prior stroke or TIA or thromboembolism, vascular disease, age 65-74, sex category"
CHARGE,"Coloboma, Heart defect, Atresia choanae, Retarded growth and development, Genital hypoplasia, and Ear anomalies/deafness"
CHD,congenital heart disease
CHEK2,checkpoint kinase 2
CHER,Tablet Chewable Extended Release
chEVAR,chimney endovascular aneurysm repair
CHEW,Tablet Chewable
CHF,congestive heart failure
CHFO,continuous high-frequency oscillation
CHG,chlorhexidine-gluconate
CHI,closed head injury
CHIKV,chikungunya virus
China CDC,Chinese Center for Disease Control and Prevention
CHL,Conductive Hearing Loss
CHO,carbohydrate
CHOP INTEND,Children’s Hospital of Philadelphia Infant Test of Neuromuscular Disorders
CHRD,cysteine–histidine rich domain
CI,Cochlear Implant
CI,confidence interval
CI,constraint-induced
CIA,Common Iliac Artery
CIC,chronic idiopathic constipation
CIC,clean intermittent catheterization
CIC,community integration counseling
CID,compromised immune disorder
CIDP,Chronic Inflammatory Demyelinating Polyneuropathy
CIDT,culture-independent diagnostic test
CIM,critical illness myopathy
CIN,cervical intraepithelial neoplasia
CIN,Contrast Induced Nephropathy
CIS,carcinoma in situ
cis-RA,13-cis-retinoic acid
CISS,constructive interference in steady state
ciTBI,clinically important traumatic brain injury
CIU,chronic idiopathic urticaria
CIWA,Clinical Institute Withdrawal Assessment
CK,creatine kinase
CK18,Cytokeratin 18 Fragments
CKD,chronic kidney disease
CKI,cyclin-dependent kinase inhibitor
CKIδ,casein kinase 1 delta
CKMB,creatine kinase isoenzyme MB
Cl,chloride
CLA,cutaneous lymphocyte antigen
CLAD,chronic lung allograft dysfunction
CLBP,chronic low back pain
CLE,cutaneous lupus erythematosus
CLI,critical limb ischemia
CLIA,Clinical Laboratory Improvement Amendments
CLL,chronic lymphocytic leukemia
CLND,complete lymph node dissection 
CLTI,chronic limb-threatening ischemia
CM,cardiomegaly
CM,cardiomyopathy
CM,case manager
CM,cell membrane
CM,Chiari malformation
CM,chronic migraine
CM,contingency management
CM-AVM,capillary malformation–ateriovenous malformation syndrome
CM-AVM,chromosomal microarray analysis
CMA,chromosomal microarray analysis
CMAP,compound muscle action potential
CMB,cerebral microbleed
cmH2O,centimeters of water
CML,chronic myeloid leukemia
CMP,cardiomyopathy
CMP,comprehensive metabolic panel
CMPA,cow’s milk protein allergy
CMR,cardiac magnetic resonance
CMS,Centers for Medicare & Medicaid Services
CMT,cervical motion tenderness
CMT,Charcot-Marie-Tooth
CMV,continuous mandatory ventilation
CMV,cytomegalovirus
CN,cranial nerve
CN,cytogenetically normal
CN12,hypoglossal nerve
CNA,certified nurse assistant
CNA,copy number alteration
CNC,Maryland consonant-nucleus-consonant test
CNS,central nervous system
CNT,carbon nanotube
CNV,choroidal neovascularization
CNV,copy number variant
CNVM,choroidal neovascular membrane
CO,carbon monoxide
CO,cardiac output
CO2,carbon dioxide
COACH,"Cerebellar vermis hypoplasia, Oligophrenia, Ataxia, Coloboma, and Hepatic fibrosis"
COC,certificate of coverage
COG,Children's Oncology Group
COL3A1,collagen type III alpha 1 chain
COLD,chronic obstructive lung disease
COM,Chronic Otitis Media
COME,Chronic Otitis Media With Effusion
COMT,catechol-O-methyltransferase
CONC,Concentrate
COOG,Collaborative Ocular Oncology Group
COP,condylar process
COPD,chronic obstructive pulmonary disease
COS,controlled ovarian stimulation
CoV,Coronavirus
COVID-19,Coronavirus disease 2019
COWS,clinical opiate withdrawal scale
COX-2,cyclooxygenase 2 inhibitors
CP,cerebral palsy
CP,chest pain
CP,cleft palate
CP12,Capsule Extended Release 12 Hour
CP24,Capsule Extended Release 24 Hour
CPA,cerebellopontine angle
CPAP,continuous positive airway pressure
CPCR,Capsule Extended Release
CPCW,Capsule Chewable
CPDR,Capsule Delayed Release
CPE,cytopathic effect
CPEA,Capsule Extended Release Abuse-Deterrent
CPEP,Capsule Delayed Release Particles
CPEP,continuous positive expiratory pressure
CPG,Clinical Practice Guideline
CPHP,combined pituitary hormone deficiency
CPHSS,Cincinnati Prehospital Stroke Scale
CPK,creatine phosphokinase
CPK-MB,creatine phosphokinase muscle bandisoenzyme
CPM,continuous passive motion
CPNB,continuous peripheral nerve block
CPP,central precocious puberty
CPP,cerebral perfusion pressure
CPP,chronic pelvic pain
CPPK,Capsule Therapy Pack
CPR,cardiopulmonary resuscitation
CPS,child protective services
CPSP,Capsule Sprinkle
CPT,chest physiotherapy
CPT,Child‐Pugh‐Turcotte
CPT,Current Procedural Terminology
CPT-1,Carnitine Palmitoyltransferase 1
CPT1A,carnitine palmitoyl transferase 1A
CPT2,carnitine palmitoyltransferase II deficiency
CR,clinical response
CR,complete response
CR,controlled release
Cr,Creatinine
CRBBB,complete right bundle branch block
CRC,colorectal cancer
CrCl,Creatinine Clearance
CREA,Cream
CREB,cAMP response element-binding protein
CREBBP,CREB binding protein
CRF,chronic renal failure
CRH,corticotropin-releasing hormone
CRISA,catheterization risk in adult patients
CRISPR,clustered regularly interspaced short palindromic repeats
CRM,cardiac rhythm management
CRMO,chronic recurrent multifocal osteomyelitis
CRNA,Certified Registered Nurse Anesthetist
CROS,contralateral routing of signals
CRP,C-reactive protein
CRPS,complex regional pain syndrome
CRRT,continuous renal replacement therapy
CRS,chronic rhinosinusitis
CRSsNP,chronic rhinosinusitis without nasal polyps
CRST,Clinical Rating Scale for Tremor
CRSwNP,chronic rhinosinusitis with nasal polyps
CRT,cardiac resynchronization therapy
CRT,conformal radiation therapy
CRT-D,cardiac resynchronization therapy with a defibrillator
CRYS,Crystals
CS,Costello syndrome
CS-IMRT,carotid-sparing intensity-modulated radiotherapy
CS12,Capsule ER 12 Hour Sprinkle
CS24,Capsule ER 24 Hour Sprinkle
CSBM,complete spontaneous bowel movement
cSCC,cutaneous squamous cell carcinoma
CSD,controlled systemic disease
CSD,cortical spreading depression
CSDR,Capsule Delayed Release Sprinkle
CSER,Capsule Extended Release Sprinkle
CSF,cerebrospinal fluid
CSF2RA,colony stimulating factor 2 receptor subunit alpha
CSF2RB,colony stimulating factor 2 receptor subunit beta
CSI,carniospinal irradiation
CSI,corticosteroid injection
CSII,continuous subcutaneous insulin infusion
CSM,cervical spondylotic myelopathy
CSM,corrugated supercilii muscle
cSNP,coding single-nucleotide polymorphism
CSS,cancer-specific survival
CSU,chronic spontaneous urticaria
CT,computed tomography
CTA,clear to auscultation
CTA,Computed Tomographic Angiography
CTA,cuff tear arthropathy
CTAB,clear to auscultation bilaterally
CTAP,computerized tomography of the abdomen and pelvis
CTC,circulating tumor cell
CTD,connective tissue disease
ctDNA,circulating tumour DNA
CTE,computed tomography enterography
CTG,cardiotocography
CTGF,connective tissue growth factor
CTH,computed tomography of head
CTI,cavotricuspid isthmus
CTKT,Cartridge Kit
CTN,classic trigeminal neuralgia
CTO,chronic total occlusion
CTO,coronary total occlusion
CTPA,CT pulmonary angiography
CTR,chest tube removal
CTS,carpal tunnel syndrome
CTS,community transitional services
CTV,clinical target volume
CTV,CT venogram
CTV-HR,clinical target volume-high risk
CTV-LR,clinical target volume-low risk
CTX,carboxy-terminal telopeptide of type 1 collagen
CTX,corticosteroids
CTX,cyclophosphamide
CU,chronic urticaria
CUP,cancer of unknown primary
CURB-65,"confusion, BUN, respiration rate, BP, Age 65+"
CV,cardiovascular
CV,cephalic vein
CVA,cerebrovascular accident
CVA,costovertebral angle
CVAC,Central Venous Access Catheter
CVAT,costovertebral angle tenderness
CVC,central venous catheter
CVD,cardiovascular disease
CVI,calcium volume index
CVICU,Cardiovascular Intensive Care Unit
CVID,common variable immunodeficiency
CVP,central venous pressure
CVS,cardiovascular system
CVS,chorionic villus sampling
CVST,cerebral venous sinus thrombosis
CVT,cerebral venous thrombosis
Cx,culture
CXL,collagen crosslinking
CXR,chest x-ray
CYP,cytochrome P450
CYS,Child & Youth Services
CZP,certolizumab pegol
H. pylori,Helicobacter pylori
H/H,hemoglobin/hematocrit
h/o,history of
H&H,hemoglobin and hematocrit
H&P,history and physical
H1,histamine H1 receptor
H2,histamine H2-receptor
H20,water
H2O2,hydrogen peroxide
HA,headache
HA,hearing aid
HA,hippocampal avoidance
HA,histamine
HA,hyaluronic acid
HA-R,histamine receptor
HA-WBRT,hippocampal avoidance whole-brain radiotherapy
HAART,highly active antiretroviral therapy
HAE,human airway epithelia
HAEM,herpes associated erythema multiforme
HAGMA,High Anion Gap Metabolic Acidosis
HAL,hexaminolevulinate
HAM,HTLV-1 associated myelopathy
HAM-D,Hamilton Depression Rating Scale
HAM/TSP,HTLV-1-associated myelopathy/tropical spastic paraparesis
HAMP,homeostasis-altering molecular process
HAP,hospital-acquired pneumonia
HAPE,high altitude pulmonary edema
HAS-BLED,"hypertension, abnormal renal and liver function, stroke, bleeding, labile INR, elderly, drugs or alcohol"
HASTI,"Heaviness, Achiness, Swelling, Throbbing, Itching"
HAT,"hypoxanthine, aminopterin, thymidine"
HAV,hepatitis A virus
HAVB,high-grade atrioventricular block
Hb,hemoglobin
HB-MFO,hybrid multifield optimization
HBA,hepatobiliary agent
HBeAg,hepatitis B e-antigen
HBI,Harvey-Bradshaw Index
HBO,hyperbaric oxygen
HBOT,hyperbaric oxygen therapy
HBsAg,Hepatitis B surface antigen
HbSS,hemoglobin sickle-sickle
HBV,hepatitis B virus
HC,hydrocortisone
HC,healthy contol
HC,hydroxycarbamide
HCAP,healthcare-associated pneumonia
HCBS,Home and Community Based Services
HCC,Hepatocellular Carcinoma 
hCFTR,human cystic fibrosis transmembrane conductance regulator
HCG,Human Chorionic Gonadotropin
HCl,hydrochloric acid
HCM,hypertrophic cardiomyopathy
HCMV,human cytomegalovirus
HCO3,bicarbonate
HCoV-229E,human coronavirus 229E
HCP,healthcare proxy
HCPCS,Healthcare Common Procedure Coding System
HCQ,hydroxychloroquine
HCSS,home and community support services
Hct,hematocrit
HCT,hematopoietic cell transplantation
HCTZ,hydrochlorothiazide
HCV,Hepatitis C virus
HCVD,hypertensive cardiovascular disease
HD,hemodialysis
HD,hemodynamically
HD,Hirschsprung's disease
HD,hospital day
HD,Huntington’s disease
HD-MTX,high-dose methotrexate
hDBS,hypothalamic deep brain stimulation
HDC,histidine decarboxylase
HDFN,hemolytic disease of the fetus and newborn
HDL,high density lipoprotein
HDLP,HDL particle concentration
HDM,home delivered meal
HDN,hemolytic disease of the newborn
HE,hemagglutinin–acetylesterase
HEART,"History, EKG, Age, Risk factors, initial Troponin"
HEENT,"head, eyes, ears, nose, throat"
HeFH,heterozygous familial hypercholesterolaemia
HEP,home exercise program
HER2,human epidermal growth factor receptor 2
HESX1,homeobox expressed in embryonic stem cells 1
HF,heart failure
HFA,hydrofluoroalkane-134a
HFCC,high-frequency chest clearance
HFCWO,high-frequency chest wall oscillation
HFE,homeostatic iron regulator
HFNC,High-Flow Nasal Cannula
HFpEF,heart failure with preserved ejection fraction
HFrEF,heart failure with reduced ejection fraction
Hg,hemoglobin
Hg,mercury
HGB,hemoglobin
HGF,hepatocyte growth factor
HGG,High Grade Glioma
HH,hereditary hemochromatosis
HH,hiatal hernia
HHA,home health aide
HHS,Hyperglycemic Hyperosmolar Syndrome
HI,homicidal ideation
HIDA,hepatobiliary iminodiacetic acid scan
HIE,hypoxic-ischemic encephalopathy
HIF-1,hypoxic inducible factor-1
HIFU,High Intensity Focused Ultrasound
HIPAA,Health Insurance Portability and Accountability Act
HIPEC,Hyperthermic Intraperitoneal Chemotherapy
HIS,histidine
HiSCR,Hidradenitis Suppurativa Clinical Response
HIT-6,Headache Impact Test
HIV,human immunodeficiency virus
HJV,hemojuvelin
HK,Horseshoe Kidney
hK2,human kallikrein 2
HL,hearing loss
HL/S,high ligation and stripping
HLA,human leukocyte antigen
HLA-B27,human leukocyte antigen B27
HLD,Handicapping Labio-Lingual Deviation
HLD,hyperlipidemia
HLP,hyperlipidemia
HLS,high ligation and stripping
HM,Heineke-Mikulicz
HM,Heller myotomy 
HM,hemiplegic migraine
HM,hand motion
HM3,HeartMate 3
HMB,heavy menstrual bleeding
HME,home medical equipment
HMG-CoA,hydroxymethyl glutaryl coenzyme A
HMGB1,high mobility group box 1
HMN,hypoglossal motor nucleus
HNC,head and neck cancer
HNMT,histamine N-methyltransferase
HNP,Herniated Nucleus Pulposus
HNPCC,non-polyposis colorectal cancer
HNS,hypoglossal nerve stimulation
HNSCC,head and neck squamous cell carcinoma
HOB,head-of-bed
HOBE,head-of-bed elevation
HOCM,Hypertrophic Obstructive Cardiomyopathy
HOH,hard of hearing
HoLEP,holmium laser enucleation of the prostate
HOMA,Homeostatic Model Assessment
HOMA-IR,homeostatic model assessment of insulin resistance
HOXB13,Homeobox B13
HP,hypersensitivity pneumonitis
HP,highly purified
HP,Hypopharynx
HPA,hypothalamic-pituitary-axis
HPA,hypothalamic-pituitary-adrenal
HPG,hypothalamic-pituitary-gonadal
HPI,history of present illness
HPL,human placental lactogen
HPL,hyperlipidemia
HPP,hypophosphatasia 
HPS,Hantavirus pulmonary syndrome
HPV,human papillomavirus
HR,hazard ratio
HR,heart rate
HR,hormone receptor
HR-NB,high-risk neuroblastoma
HRCT,high-resolution computed tomography
HRM,high-resolution manometry
HRQL,health-related quality of life
HRR,homologous recombination repair
HRS,Heart Rhythm Society
HRT,hormone replacement therapy
hs,at bedtime (hora somni)
HS,heparan sulfate
HS,hidradenitis suppurativa
HS,high-sensitivity
HS-CRP,high sensitivity C-reactive protein
HS/AI,hidradenitis suppurativa/acne inversa
HSAM,Highly Superior Autobiographical Memory
HSAT,home sleep apnea test
HSC,hematopoietic stem cells
HSCT,hematopoietic stem cell transplant
HSDS,height standard deviation score
HSG,hysterosalpingogram 
HSK,herpetic stromal keratitis
HSP,Henoch-Schönlein purpura
HSP,hereditary spastic paraplegia
HSPG,Heparan Sulfate Proteoglycan
HSROC,hierarchical summary receiver operating characteristic
HST,home sleep test
HSV,herpes simplex virus
HSV-2,herpes simplex virus type 2
HT,Hashimoto thyroiditis
Ht,height
HTC,humidified trach collar
HTG,hypertriglyceridemia
HTLV,human T-cell lymphotropic virus
HTN,Hypertension
HTV,height velocity
HU,hydroxyurea
HUD,Humanitarian Use Device
HUS,hemolytic-uremic syndrome
HUVEC,human umbilical vein endothelial cell
HV,hypertensive vasculopathy
Hx,history
Hyper-CVAD,"hyperfractionated cyclophosphamide, vincristine, Adriamycin, and dexamethasone"
HZ,Herpes Zoster
Hz,hertz
HZO,herpes zoster ophthalmicus
HZV,Herpes Zoster Virus
D,diopter
d-MPH,dexmethylphenidate
D-RVd,"daratumumab, lenalidomide, bortezomib, and dexamethasone"
D/C,discharge
d/c,discontinue
D/W,dextrose in water
D&C,dilatation & curettage
D+/R-,donor positive/recipient negative
D10,10% dextrose
D5,5% dextrose
D5 1/2NS,5% dextrose in half amount of normal saline
D50,50% dextrose
D50W,50% dextrose in water
D5LR,5% dextrose in lactated Ringer's solution
D5NS,5% dextrose in normal saline
D5W,5% dextrose in water
DAA,direct-acting antiviral
DAC,dose-adjustment coefficient
DAD,diffuse alveolar damage
DAF,decay-accelerating factor
DAO,diamine oxidase
DAOM,depressor anguli oris muscle
DAPT,dual antiplatelet therapy
DAS-II,"Differential Ability Scale, Second Edition"
DASH,"Disabilities of the Arm, Shoulder and Hand"
DAT,direct antibody test
dAVF,dural arteriovenous fistula
dB,decibel
DBP,diastolic blood pressure
DBS,deep brain stimulation
DBT,dialectical behavior therapy
DBT,dual biologic therapy
DC,dendritic cell
DCB,drug-coated balloon
DCI,distal contractile integral
DCIS,ductal carcinoma in situ
DCM,dilated cardiomyopathy
DCS,direct current stimulation
DD,diagonal difference
DDD,degenerative disc disease
DDI,drug to drug interaction
DDR,DNA damage repair
DDX,differential diagnosis
DE,donor egg
DEB,diepoxybutane
DED,dry eye disease
DEE9,developmental and epileptic encephalopathy 9
DES,drug-eluting stent
DEVI,device
DEXA,dual-energy x-ray absorption
DF,dorsiflexion 
DFE,dilated fundus examination
DFS,disease-free survival
DFV,Doppler flow velocimetry
DGE,Delayed Gastric Emptying
DGL,deglycyrrhizinated licorice
DHA,docosahexaenoic acid
DHE,dihydroergotamine
DHEA,dehydroepiandrosterone
DHS,dynamic hip screw
DHT,dihydrotestosterone
DI,diabetes insipidus
DIAD,diisopropyl azodicarboxylate
DIBH,deep inspiration breath hold
DIC,disseminated intravascular coagulation
DIEM,drug-induced erythema multiforme
DIEP,deep inferior epigastric artery perforator
DILD,diffuse interstitial lung disease
DILI,drug-induced liver injury
DIP,distal interphalangeal
DIPG,diffuse intrinsic pontine glioma
DISE,drug-induced sleep endoscopy
DISIDA,cholescintigraphy
DJD,degenerative joint disease
DKA,diabetic ketoacidosis
DKTC,double knee to chest
DL,Direct Laryngoscopy
DL,distal latency
DL,dyslipidemia
dL,deciliter
dL,deciliter
DLBCL,diffuse large B cell lymphoma
DLCO,Diffusion Capacity
DLCT,dual-layer CT
DLE,discoid erythematosus
DLGNT,diffuse leptomeningeal glioneuronal tumor
DLI,donor lymphocyte infusion
DLIM,depressor labii inferioris muscle
DLLU,"doubly-labelled lactose-[13C, 15N]ureide"
DLQI,Dermatology Life Quality Index
DLT,decongestive lymphatic therapy
DM,deep masseter
DM,dermatomyositis
DM,diabetes mellitus
DMA,druggable molecular alteration
DMARD,disease-modifying antirheumatic drug
Dmax,maximum dose
DMBA,"7,12-dimethylbenz[α]antracene"
DMD,dystrophin gene
DMD,Duchenne muscular dystrophy
DMDD,disruptive mood dysregulated disorder
DMEM,Dulbecco’s modified Eagle’s medium
DMR,differentially methylated region
DMSO,dimethyl sulfoxide
DMT,disease-modifying therapy
DNA,deoxyribonucleic acid
DNI,do not intubate
DNR,do not resuscitate
DNS,Deviated Nasal Septum
DOAC,directly acting oral anticoagulants
DOB,date of birth
DOC,Dynamic Orthotic Cranioplasty
DOC,deoxycorticosterone
DOE,dyspnea on exertion
DOS,date of service
